Lake,County,Nearby town,Size (acres),Littoral zone (acres),Max depth (ft),Water clarity (ft),MNDNR Code,Notes
Fond du Lac Reservoir,Carlton,Fond du Lac,217.0,112.0,64.0,5.3,,
Fool,Crow Wing,Wolford,228.0,228.0,17.0,12.0,,
Foot,Kandiyohi,Willmar,694.0,663.0,24.0,3.0,,
Forbay,Carlton,Brownell,34.73,27.0,16.0,3.4,,
Forest,Itasca,Marcell,37.0,37.0,39.0,12.0,,
Forest Lake,Washington,Forest Lake,2251.0,1531.0,37.0,5.1,,
Forget-Me-Not,Becker,Lake Park,361.0,361.0,7.0,0.8,,
Fort Ridgely State Park Pond,Nicollet,Fairfax,2.0,2.0,8.0,5.0,,
Fosdick,Morrison,Fort Ripley,33.0,33.0,,6.7,,
Foster,Wright,Berning Mill,115.3,115.3,10.0,1.28,,
Fountain,Freeborn,Albert Lea,534.0,534.0,14.0,2.0,,
Fountain,Wright,Montrose,434.65,429.29,10.0,1.64,,
Four Mile,Cook,Tofte,572.0,559.0,19.5,7.5,,
Fourteen,St. Louis,Buhl,386.0,375.5,14.5,,,
Fox,Itasca,Marcell,280.0,193.0,75.0,12.0,,
Fox,Murray,Currie,174.0,174.0,8.5,1.2,,
Fox,Pine,Willow River,239.0,239.0,15.0,2.5,,
Fox,Rice,Shieldsville,308.0,139.0,47.0,2.0,,
Fox (East),Crow Wing,Fifty Lakes,239.0,101.0,65.0,18.0,,
Fox (West),Crow Wing,Fifty Lakes,472.0,138.0,55.0,17.0,,
Frances,Le Sueur,Elysian,797.0,502.0,60.0,8.5,,
Francis,Isanti,Isanti,301.0,301.0,7.0,1.4,,
Francis,Meeker,Kingston,921.0,871.0,17.0,6.5,,
Franklin,Otter Tail,Pelican Rapids,1087.0,749.0,48.0,11.0,,
Franklin,St. Louis,Crane Lake,135.0,120.0,18.0,6.3,,
Fredrickson Slough,Sherburne,Orrock,14.0,14.0,,6.23,,
Freeborn,Douglas,Farwell,241.0,171.0,18.0,4.0,,
Freeborn,Freeborn,Freeborn,2222.0,2222.0,6.7,0.4,24004400.0,
Fremont,Sherburne,Zimmerman,484.0,484.0,8.0,3.3,,
French,Rice,Faribault,816.0,397.5,56.0,14.0,,
French,Wright,Annanndale,332.0,156.0,50.0,5.0,,
French Marsh,Hennepin,Orono,15.0,15.0,,4.3,,
French Marsh,Hennepin,Orono,26.0,26.0,,5.6,,
Frevels,Stearns,New Munich,66.0,66.0,14.0,11.0,,
Frieze,Morrison,Pierz,36.0,36.0,,5.81,,
Frog,Lake,Ely,41.7,21.5,38.0,16.0,,
Frog,Morrison,Pillager,,,,,,
Frontenac,Hubbard,Becida,204.0,173.0,16.0,6.5,,
Frovold,Swift,,,,,,,
Fuller,Stearns,Clearwater,31.37,26.7,28.0,4.0,,
Gabbro,Lake,Ely,896.0,457.0,50.0,3.0,,
Gabimichigami,Cook,Tofte,1186.16,144.0,209.0,15.0,,
Games,Kandiyohi,Sunburg,515.0,242.0,42.0,9.3,,
Ganz,Morrison,Burtrum,35.0,35.0,,6.82,,
Ganzer,Stearns,Richmond,27.0,27.0,42.0,14.0,,
Garden,Lake,Ely,670.0,239.0,55.0,7.0,,
Garfield,Hubbard,Laporte,979.0,521.0,32.0,11.2,,
Gasconade,Morrison,Onamia,,,,,,
Gate,St. Louis,Virginia,12.0,10.0,33.0,5.5,,
Gegoka,Lake,Isabella,159.0,159.0,10.0,4.0,,
Geneva,Douglas,Alexandria,631.0,265.0,63.0,9.0,,
Geneva,Freeborn,Geneva,2214.0,2214.0,8.0,0.2,,
George,Anoka,St Francis,495.0,391.0,32.0,13.75,,
George,Cass,Outing,720.0,711.0,20.0,4.5,,
George,Hubbard,Lake George,798.0,453.0,29.0,9.0,,
George,Kandiyohi,Spicer,231.0,112.0,34.0,15.5,,
George,Stearns,Spring Hill,315.0,315.0,32.0,3.0,,
George,Stearns,Saint Cloud,9.0,4.0,32.0,7.5,,
German,Isanti,Oxlip,334.0,334.0,10.0,4.3,,
German,Le Sueur,Elysian,899.0,521.0,51.0,5.0,,
German,Otter Tail,Underwood,77.15,25.0,46.0,11.1,,
German,Washington,Scandia,78.0,78.0,,5.9,,
Gervais,Ramsey,Little Canada,234.0,91.0,41.0,6.5,,
Getchell,Stearns,St Martin,72.0,72.0,5.0,1.0,,
Getchell Pond,Stearns,St Martin,6.0,6.0,8.0,2.0,,
Gleason,Hennepin,Wayzata,166.88,141.0,16.0,,,
Gladstone,Crow Wing,Nisswa,,,,,,
Gijikiki,Lake,Prairie Portage,113.05,113.05,70.0,16.4,,
Gilbert,Crow Wing,Brainerd,369.0,226.0,45.0,16.0,,
Gilbert,Douglas,Holmes City,204.0,190.0,17.0,2.0,,
Gilchrist,Pope,Sedan,321.0,206.0,24.0,4.2,,
Gilchrist,Wright,Buffalo,285.0,285.0,,5.35,,
Gilfillian,Ramsey,White Bear Lake,110.0,110.0,9.0,,,
Gilfillin,Blue Earth,,,,,,,
Gill,Clearwater,Mallard,356.0,356.0,12.0,6.0,,
Gilstad,Beltrami,Blackduck,294.0,112.0,55.0,8.8,,
Girl,Cass,Longville,406.0,272.0,81.0,10.0,,
Glen,Hennepin,Glen Lake,98.0,89.0,25.0,10.0,,
Glesne,Kandiyohi,,,,,,,
Goble,Wright,South Haven,,,,,,
Godfrey-Glen Pit,St. Louis,Chisholm,2.0,2.0,10.0,5.0,,
Godlisch,Redwood,Morton,39.0,39.0,12.0,6.0,,
Golden,Anoka,Circle Pines,57.2,51.3,25.0,5.0,,
Gold Mine,Redwood,Delhi,11.0,11.0,36.0,12.0,,
Gold Pond,Morrison,Motley,,,,,,
Gonz,Wright,Saint Michael,71.5,71.5,,4.69,,
Goodman,Itasca,Spring Lake,16.0,16.0,12.0,4.3,,
Goodman Marsh,Lac qui Parle,Burr,66.0,66.0,6.0,4.6,,
Goodner Pond,Stearns,Cold Spring,0.8,0.8,6.0,2.0,,
Goodners,Stearns,Cold Spring,150.0,97.0,24.0,3.0,,
Goose,Carver,Waconia,302.16,296.45,10.0,8.0,,
Goose,Cass,Elevenmile Corner,32.0,32.0,9.5,4.0,,
Goose,Cass,Lake Shore,126.0,126.0,8.0,3.0,,
Goose,Chisago,Stark,754.0,370.0,55.0,5.8,,
Goose,Freeborn,Albert Lea,80.0,80.0,13.0,8.0,,
Goose,Goodhue,Red Wing,157.0,157.0,5.7,,,
Goose,Hennepin,Osseo,62.0,62.0,16.0,1.0,,
Goose,Houston,Cee Jefferson,25.0,25.0,8.0,3.0,,
Goose,Itasca,Spring Lake,23.0,23.0,6.0,4.0,,
Goose,Le Sueur,Cordova,36.0,36.0,8.0,2.0,,
Goose,Lyon,Lynd,148.96,148.96,9.0,1.9,,
Goose,Meeker,Strout,119.36,119.36,12.0,2.0,,
Goose,Morrison,Randall,53.0,53.0,,,,
Goose,Pennington,Carpenters Center,18.0,18.0,5.0,3.0,,
Goose,Pope,Terrace,323.83,323.83,17.0,8.0,,
Goose,Ramsey,Lake Shore Park,114.62,114.62,6.0,2.0,,
Goose,Scott,Credit River,42.0,42.0,9.0,7.5,,
Goose,Sherburne,Lake Fremont,42.0,42.0,,7.41,,
Goose,Todd,North Shore,212.0,212.0,6.0,6.0,,
Goose,Waseca,Meriden,327.0,327.0,12.0,6.0,,
Goose,Washington,Scandia,75.86,41.3,25.0,7.0,,
Goose,Wright,Buffalo,51.93,52.07,14.0,1.0,,
Goose,Wright,French Lake,95.0,95.0,14.0,10.0,,
Goose Prairie,Clay,Hitterdahl,122.0,,5.0,,,
Goose Prairie Marsh,Clay,Hitterdahl,145.0,145.0,12.0,6.5,,
Gorman,Le Sueur,Le Center,499.0,499.0,14.0,6.0,,
Grace,Cook,Forest Center,432.9,297.0,16.0,8.0,,
Grace,Hubbard,Bemidji,859.82,340.0,42.0,6.8,,
Grace,Pine,Duxbury,79.77,79.77,10.0,2.9,,
Graham,Benton,Rice,,,,,,
Graham,Otter Tail,Frazee,210.0,126.0,34.0,10.8,,
Grace Marsh,Mahnomen,Bejou,40.0,40.0,6.0,2.0,,
Grand,St. Louis,Twig,1592.0,1510.0,24.0,12.0,,
Grand,Stearns,Cold Spring,655.0,235.0,34.0,4.0,,
Granite,Morrison,Pierz,,,,,,
Granite,Wright,Annanndale,361.67,108.0,34.0,6.0,,
Grant,Beltrami,Wilton,208.0,85.0,92.0,11.0,,
Grass,Stearns,Brooten,201.0,201.0,7.0,5.0,,
Grass,Wright,Annadale,71.47,61.6,35.0,7.0,,
Grass,Wright,Cokato,,,,,,
Grassy,St. Louis,Ely,213.0,213.0,15.0,8.0,,
Grave,Crow Wing,Brainerd,168.57,168.57,13.0,1.3,,
Grave,Itasca,Marcell,500.0,304.0,39.0,9.5,,
Gravel,Stearns,St Martin,56.0,56.0,11.0,8.0,,
Great Northern,Stearns,Cold Spring,356.0,355.0,19.0,,,
Green,Chisago,Chisago City,1714.0,1228.0,32.0,7.0,,
Green,Isanti,Princeton,802.0,357.0,28.0,3.0,,
Green,Kandiyohi,Spicer,5406.0,2035.0,110.0,13.2,,
Green Mountain,Wright,Buffalo,156.0,156.0,10.0,2.39,,
Green Pond,Stearns,Melrose,4.0,4.0,6.0,4.0,,
Greenleaf,Le Sueur,Montgomery,293.0,261.0,18.0,,,
Greenleaf,Meeker,Litchfield,224.0,180.0,18.0,2.4,,
Greenstone,Lake,Ely,345.0,131.0,72.0,12.0,,
Greenway Mine Pit,Itasca,Grand Rapids,72.0,7.0,295.0,30.0,,
Greenwood,Cook,Grand Marais,2021.0,537.0,112.0,14.5,,
Greenwood,Lake,Isabella,1300.0,1300.0,7.0,3.2,,
Grindstone,Pine,Sandstone,526.0,71.0,153.0,8.0,,
Grindstone Reservoir,Pine,Hinckley,26.0,26.0,11.0,5.5,,
Grosilliers,Clearwater,,,,,,,
Grotes Pond,Goodhue,Wacouta,21.0,21.0,12.0,6.5,,
Groth Marsh,Nobles,Wilmont,36.0,36.0,,5.2,,
Grove,Pope,Sedan,379.0,265.0,31.0,18.0,,
Gun,Aitkin,Palisade,730.0,292.0,44.0,7.5,,
Gunderson,Itasca,Talmoon,146.0,47.0,41.0,13.0,,
Gull,Cass,Nisswa,9418.0,2825.0,80.0,13.0,,
Gunn,Itasca,Marcell,342.0,142.0,39.0,9.0,,
Haags,Stearns,Eden Valley,36.0,36.0,9.0,7.9,,
Haags Slough,Stearns,Eden Valley,21.0,21.0,10.0,2.0,,
Hafften Lake,Hennepin,,,,,,,
Hale,Itasca,Blackberry,131.0,114.0,59.0,10.5,,
Hale,Itasca,Squaw Lake,14.0,14.0,6.0,3.0,,
Hale,Itasca,Grand Rapids,130.37,37.0,60.0,17.0,,
Halfmoon,Wabasha,Kellogg,229.0,229.0,13.0,6.0,,
Half Moon,Meeker,Manannah,,,,,,
Half Moon,St. Louis,Eveleth,153.0,58.0,40.0,8.5,,
Hallett,Nicollet,Saint Peter,14.0,14.0,23.0,11.0,,
Halvorson,Stearns,Brooten,138.0,138.0,8.0,3.0,,
Ham,Anoka,Ham Lake,174.0,174.0,22.0,6.8,,
Ham,Anoka,Blaine,168.08,160.0,22.0,4.9,,
Ham,Morrison,Lincoln,38.0,20.0,22.0,10.0,,
Hammal,Aitkin,Aitkin,374.0,262.0,44.0,10.0,,
Hancock,Otter Tail,Battle Lake,182.0,109.0,23.0,5.0,,
Hand,Cass,Backus,269.0,140.0,57.0,12.0,,
Handlo's,Ramsey,White Bear Lake,7.7,7.7,7.7,5.0,,
Hanging Horn,Carlton,Barnum,408.0,86.0,80.0,8.8,,
Hanging Kettle,Aitkin,Aitkin,302.0,142.0,35.0,,,
Hannah,Morrison,Pine Center,95.77,67.77,27.0,8.53,,
Hanrahan,Scott,,,,,,,
Hanska,Brown,Hanska,1773.0,1773.0,16.0,,,
Hanson Marsh,Murray,Dovray,84.0,84.0,,2.0,,
Harold,Meeker,Acton,126.0,126.0,,2.2,,
Harriet,Hennepin,Minneapolis,335.0,85.0,87.0,12.0,,
Harriet,Lake,Isabella,265.0,194.0,37.0,15.0,,
Harris,Blue Earth,New Ulm,12.0,12.0,10.0,3.0,,
Harstad Slough,Stevens,,,,,,,
Hart,Hubbard,Guthrie,224.0,224.0,13.0,12.0,,
Hart,Itasca,Pengilly,325.0,75.0,55.0,12.0,,
Hartley,Itasca,Nashwauk,281.0,98.0,49.0,10.0,,
Hartnett,Stearns,Sauk Centre,35.0,35.0,16.0,7.0,,
Hatch,Itasca,Marcell,243.0,49.0,88.0,11.0,,
Hatch,Rice,,,,,,,
Hattie,Hubbard,Lake George,259.0,77.0,39.0,8.5,,
Hattie,Stevens,Alberta,477.0,477.0,9.0,3.2,,
Hattie,Cass,Pine River,588.0,198.0,30.0,,,
Haus Marsh,Stearns,Marty,34.0,34.0,6.0,4.0,,
Hawks Nest,Lincoln,Ivanhoe,282.0,282.0,7.3,1.0,,
Hay,Carlton,Wrenshal,215.0,214.0,16.0,,,
Hay,Cass,Backus,350.0,179.0,56.0,11.6,,
Hay,Crow Wing,Riverton,52.2,30.0,19.0,12.0,,
Hay (Lower),Crow Wing,Jenkins,685.0,215.0,100.0,11.0,,
Hay (Upper),Crow Wing,Jenkins,581.0,184.0,42.0,5.0,,
Hazel,Cass,Longville,14.74,7.5,38.0,6.7,,
Hazel,Lake,Forest Center,104.0,104.0,7.0,7.0,,
Hazel,Wadena,Staples,31.0,31.0,7.0,5.0,,
Hazeltine,Carver,Hazeltine,152.0,152.0,24.0,1.0,,
Head,Otter Tail,Richville,249.0,137.0,26.0,6.5,,
Heather,Benton,Foley,,,,,,
Heart,Clearwater,Zerkel,206.0,54.0,55.0,24.1,,
Hecorts Marsh,Le Sueur,,,,,,,
Hedmans,Itasca,Zemple,,,,,,
Heenan,Meeker,Jennie,42.0,42.0,,4.96,,
Heffron,Cass,Longville,51.0,47.0,35.0,14.0,,
Hefta,Kandiyohi,,,,,,,
Height of Land,Becker,Detroit Lakes,3520.0,3190.0,21.0,7.5,,
Heilberger,Otter Tail,Erhard,224.0,97.0,47.0,12.6,,
Helene,Sherburne,Lake Fremont,18.0,18.0,,8.23,,
Helga,Meeker,Grove City,117.0,117.0,,1.2,,
Helmbrecht Pond,Wright,West Albion,,,8.0,,,
Henderson,Kandyohi,Spicer,72.0,72.0,69.0,8.0,,
Hendricks,Lincoln,Hendricks,1557.0,1557.0,12.0,2.25,,
Hennepin,Hubbard,Becida,407.0,407.0,14.0,9.2,,
Henry,Stearns,Lake Henry,112.0,112.0,16.0,0.5,,
Henry,Wright,Annandale,,,,,,
Henshaw,Wright,Albion Center,272.21,272.39,8.0,,,
Heritage Center Ponds,Stearns,St Cloud,11.62,11.62,7.0,7.0,,
Heron,Jackson,Heron Lake,195.0,195.0,9.0,7.2,,
Heron,Jackson,Lakefield,2845.0,2845.0,5.0,,32005700.0,
Hiawatha,Hennepin,Minneapolis,53.5,25.0,33.0,5.0,,
Hibbing Taconite Tailings Basin,St Louis,Hibbing,1252.0,1252.0,,5.6,,
Hiccup,Sherburne,Clear Lake,,,,,,
Hickory Pond,Morrison,Swanville,,,,,,
Hidden,Sherburne,Big Lake,4.0,4.0,,,,
Hidden,Sherburne,Big Lake,67.0,67.0,,5.51,,
Hidden,Stearns,St Augusta,11.0,11.0,10.0,4.0,,
Hidden,Wright,Annandale,7.9,3.3,32.0,,,
Hidden Pond,Sherburne,Santiago,,,,,,
High,Martin,Northrop,87.0,87.0,8.0,2.6,,
High,St Louis,Ely,273.57,99.0,66.0,13.5,,
High Island,Otter Tail,Edwards,64.0,64.0,13.0,3.3,,
High Island,Sibley,New Auburn,1389.0,1389.0,15.0,2.0,,
Highland,Itasca,Marcell,105.0,56.0,38.0,,,
Highland,Lake,Two Harbors,115.0,115.0,,3.6,,
Highland Park Pond,Hennepin,Edina,13.0,13.0,6.0,6.0,,
Highlander,Cook,Hovland,29.0,29.0,,10.2,,
Highlife,Lake,Isabella,19.81,19.0,23.0,8.9,,
Highpoint,Lyon,Russell,,,,,,
Hilary,Stearns,Collegeville,9.0,9.0,5.0,3.0,,
Hill,Aitkin,Hill City,794.01,354.0,48.0,7.6,,
Hill,Aitkin,Aitkin,27.4,16.0,67.0,15.0,,
Hill,Itasca,Alder,4.5,4.5,27.0,,,
Hill,Itasca,Grand Rapids,46.17,27.6,32.0,13.8,,
Hill River,Polk,McIntosh,102.07,67.0,60.0,5.3,,
Hill-Annex Pit,Itasca,Marble,775.0,775.0,300.0,19.0,,
Hilligas,Polk,Fosston,135.0,135.0,,3.5,,
Hills Reservoir,Rock,Hills,5.78,5.78,12.0,2.2,,
Hinds,Hubbard,Park Rapids,294.0,221.0,36.0,15.0,,
Hiniker Pond,Blue Earth,North Mankato,18.1,12.0,21.0,8.5,,
Hinz,Stearns,Clearwater,13.0,,35.0,7.0,,
Hoboken Pond,Stearns,Sauk Centre,9.0,9.0,12.0,2.0,,
Hobza Marsh,Blue Earth,Pemberton,107.0,107.0,3.0,3.0,,
Hoeffken,Carver,,,,,,,
Hoffman,Isanti,Martin Lake,62.0,62.0,,3.6,,
Hoffman,Otter Tail,Vergas,157.18,150.0,20.0,11.5,,
Hogback Ridge,Hennepin,Bloomington,14.0,14.0,15.0,3.0,,
Holden,Morrison,Randall,12.0,12.0,,7.8,,
Holiday,Hennepin,Minnetonka,7.0,7.0,8.0,0.4,,
Holkers Slough,Wright,Monticello,15.0,15.0,,1.64,,
Holloway (Bass),Itasca,Wirt,193.0,69.0,40.0,14.0,,
Holman,Itasca,Bovey,146.0,78.0,65.0,16.0,,
Holt Marsh,Chisago,Marine on Saint Croix,,,,,,
Holy Name,Hennepin,Medina,65.0,65.0,7.0,2.5,,
Home,Norman,Syre,80.0,,,6.0,,
Homer,Cook,Lutsen,443.0,400.0,22.0,6.4,,
Hook,McLeod,Hutchinson,327.0,324.0,18.0,1.3,,
Hope,Meeker,Grove City,250.0,250.0,10.0,0.6,,
Hornbean,Dakota,Sunfish Lake,20.0,20.0,12.0,6.5,,
Horseshoe,Brown,New Ulm,26.0,26.0,17.0,6.0,,
Horseshoe,Cass,Backus,225.0,80.0,51.0,11.0,,
Horseshoe,Blue Earth,Judson,13.0,13.0,16.0,4.0,,
Horseshoe,Chisago,Harris,197.0,112.0,53.0,6.0,,
Horseshoe,Hubbard,Laporte,253.0,143.0,52.0,13.5,,
Horseshoe,Itasca,Marcell,270.0,241.0,25.0,10.5,,
Horseshoe,Le Sueur,Waterville,393.0,,26.0,2.2,,
Horseshoe,Morrison,Upsala,26.0,26.0,,5.41,,
Horseshoe,Stearns,Richmond,550.0,275.0,57.0,3.0,,
Hosta Pond,Morrison,Pierz,,,,,,
Howard,Wright,Howard Lake,717.0,318.0,39.0,3.5,,
Hubbel Pond,Becker,Rochert,37.0,37.0,8.0,3.2,,
Hubred,Douglas,,,,,,,
Hubert,Crow Wing,Nisswa,1294.0,465.0,83.0,14.0,,
Hulbert,Stearns,Clearwater,13.0,,25.0,14.0,,
Hungry,Becker,Frazee,240.0,180.0,60.0,9.7,,
Hungry Man,Becker,Two Inlets,143.6,87.0,21.0,11.5,,
Hunters,Wright,Albertville,102.0,102.0,,2.42,,
Huntington Mine,Crow Wing,Crosby,93.57,14.0,258.0,38.5,,
Hystad,Kandiyohi,,,,,,,
Ice Cracking,Becker,Ponsford,331.0,80.0,73.0,14.2,,
Ida,Becker,Lake Park,580.0,435.0,20.0,7.0,,
Ida,Douglas,Alexandria,4289.0,1673.0,106.0,11.0,21012300.0,
Ida,Wright,Monticello,225.53,109.0,60.0,15.5,,
Ida,Wright,Oster,84.66,60.0,26.0,1.5,,
Idlewild,Hennepin,Eden Prairie,15.0,15.0,9.0,4.0,,
Ima,Lake,Ely,741.92,210.0,116.0,10.8,,
Imholte Slough,Sherburne,Clear Lake,89.0,89.0,,3.44,,
Ina,Douglas,Melby,202.0,105.0,48.0,3.0,,
Independence,Hennepin,Maple Plain,844.0,425.0,58.0,3.0,,
Indian,Wright,Silver Creek,139.28,65.0,31.0,3.5,,
Indian Jack,Crow Wing,Wolford,86.3,64.0,25.0,9.5,,
Inguadona,Cass,Longville,1116.0,565.0,79.0,12.0,,
Insula,Lake,Ely,2957.0,1190.0,63.0,11.0,38039700.0,
Interstate Pond,Stearns,Melrose,4.0,4.0,8.0,4.0,,
Irene,Douglas,Miltona,630.0,224.0,44.0,5.5,,
Irma,Itasca,Suomi,365.0,365.0,56.0,7.5,,
Irving,Beltrami,Bemidji,613.0,546.0,19.0,4.0,,
Isabella,Lake,Isabella,1257.0,956.0,19.0,5.0,,
Isabelle,Dakota,Hastings,103.0,103.0,5.5,3.0,,
Isabelle,Stearns,Meire Grove,39.0,39.0,21.0,3.0,,
Isabelle,Stearns,Meire Grove,26.0,26.0,3.0,1.0,,
Island,Aitkin,Tamarack,243.0,194.0,25.0,6.5,,
Island,Anoka,Linwood,72.7,72.7,40.0,9.0,,
Island,Becker,Snellman,1142.0,457.0,38.0,10.5,,
Island,Hubbard,Park Rapids,544.0,179.0,65.0,12.0,,
Island,Itasca,Northome,3088.0,1195.0,35.0,7.5,31091300.0,
Island,Itasca,Taconite,52.47,41.0,35.0,9.0,,
Island,Lyon,Lynd,169.73,169.73,8.0,1.57,,
Island,Mahnomen,Lengby,611.0,331.0,43.0,3.5,,
Island,Pine,Sturgeon Lake,510.0,267.0,42.0,10.1,,
Island,St. Louis,Goodland,227.0,142.0,65.0,14.3,,
Island,Stearns,St Nicholas,92.0,92.0,19.0,13.0,,
Island Lake Reservoir,St. Louis,Duluth,8000.51,3260.0,94.0,4.3,,
Island North,Carlton,Cromwell,101.0,87.0,25.0,5.5,,
Island South,Carlton,Cromwell,281.0,207.0,22.0,4.5,,
Itasca,Clearwater,Lake Itasca,1077.0,449.0,40.0,5.0,,
Jack the Horse,Itasca,Marcell,383.0,245.0,45.0,12.5,,
Jackson Marsh,Lyon,Milroy,51.0,51.0,6.0,1.3,,
Jacobsons Marsh,Lyon,Balaton,42.0,42.0,7.0,4.0,,
Jane,Washington,Lake Elmo,145.0,104.0,39.0,17.0,,
Janette,St. Louis,Goodland,137.0,119.0,55.0,7.5,,
Japp,Stearns,Albany,26.0,26.0,9.0,0.5,,
Jasper,Lake,Ely,154.0,123.0,25.0,14.0,,
Jay Gould,Itasca,Cohasset,426.0,292.0,33.0,10.0,,
Jefferson,Le Sueur,Cleveland,1141.0,,37.0,,,
Jejune,Morrison,Pine Center,,,,,,
Jennie,Meeker,Dassel,1056.0,1056.0,15.0,3.5,,
Jessie,Itasca,Talmoon,1753.0,455.0,42.0,8.0,,
Jessie Pit,Itasca,Coleraine,32.0,32.0,112.0,20.608,,
Jewett,Otter Tail,Elizabeth,737.0,262.0,75.0,9.0,,
Jewett WMA Impoundment,Aitkin,Glen,78.0,78.0,,5.9,,
Jewitt,Meeker,Jennie,253.0,253.0,22.0,1.088,,
Jim,Sherburne,Santiago,,,,,,
Johanna,Pope,Brooten,1584.0,1584.0,10.0,10.0,,
Johanna,Ramsey,Arden Hills,213.0,96.0,43.0,9.5,,
John,Wright,Annandale,411.0,353.0,28.0,7.3,,
John Reservoir,Yellow Medicine,Porter,20.98,20.98,12.0,5.9,,
Johnson,Itasca,Marcell,305.0,89.0,51.0,15.0,,
Johnson,Itasca,Grand Rapids,492.0,146.0,88.0,13.0,,
Johnson,Morrison,Flensburg,,,,,,
Johnson,Morrison,Randall,10.0,10.0,,8.5,,
Johnson,Morrison,Randall,21.0,21.0,,11.5,,
Johnson,Otter Tail,Dalton,338.0,165.0,32.0,6.5,,
Johnson,St. Louis,Ely,465.0,464.0,18.0,3.0,,
Johnson,St. Louis,Crane Lake,1674.0,557.0,88.0,9.0,,
Johnson Slough,Sherburne,Orrock,45.0,45.0,,3.2,,
Jolly Ann,Otter Tail,Dalton,256.0,131.0,89.0,10.1,,
Jonathan,Carver,Hazeltine,20.0,20.0,12.0,2.0,,
Jones,Sherburne,Clear Lake,68.0,68.0,,2.0,,
Jordan Mill Pond,Scott,Jordan,16.5,17.0,18.0,12.2,,
Josephine,Ramsey,Roseville,118.0,81.0,44.0,6.8,,
Josephine,Sherburne,Orrock,34.0,34.0,,4.31,,
Jude,Wright,Maple Lake,26.0,26.0,,5.02,,
Judson Mine Pit,St. Louis,Buhl,20.19,3.0,64.0,35.0,,
Judy,Ramsey,Arden Hills,16.0,16.0,12.0,4.0,,
Juergens,Todd,Little Sauk,118.0,90.0,22.0,3.0,,
Juggler,Becker,Ponsford,365.0,149.0,78.0,17.0,,
Julia,Beltrami,Puposky,450.0,167.0,43.0,7.0,,
Julia,Sherburne,Clear Lake,154.48,154.48,15.0,3.0,,
June,Crow Wing,Trommald,100.0,14.0,51.0,14.0,,
Juni,Brown County,Lake Hanska East,62.54,,,,,
Junkins,Wright,Albright,54.0,54.0,,1.86,,
Kabe Pond,Stearns,Avon,0.2,0.2,5.0,2.0,,
Kabekona,Hubbard,Laporte,2252.0,532.0,133.0,10.5,29007500.0,
Kabetogama,St. Louis,Kabetogama,25760.0,7440.0,80.0,,69084500.0,
Kalla,Stearns,Avon,107.89,41.0,48.0,11.1,,
Kalmar Reservoir 3,Olmsted,Byron,,,,,,
Kalmar Reservoir 7,Olmsted,Byron,20.14,20.14,,,,
Kane (Hemphill),Becker,Two Inlets,31.96,16.0,52.0,14.5,,
Kego,Crow Wing,Fifty Lakes,272.0,,20.0,12.0,,
Kekekabic,Lake,Ely,1620.0,97.0,195.0,18.0,,
Keitzman Slough,Grant,Herman,65.0,65.0,12.0,10.2,,
Keller,Ramsey,Maplewood,73.32,73.32,8.0,4.3,,
Keller,Sherburne,Big Lake,,,,,,
Kelser's Pond,Carver,Victoria,19.69,13.0,34.0,2.5,,
Kenogama,Itasca,Pennington,571.0,571.0,7.0,3.0,,
Kepper,Stearns,Avon,175.0,175.0,7.0,3.0,,
Kerr Pit,St. Louis,Mahoning,16.0,16.0,72.0,8.8,,
Kibbee,Clearwater,Elbow Lake Village,38.0,38.0,16.0,9.0,,
Killdeer,Itasca,Wirt,140.0,140.0,15.0,9.0,,
Kimball Pond,Stearns,Kimball,6.0,6.0,12.0,9.0,,
Kimbe Marsh,Lyon,,,,,,,
King,Itasca,Taconite,296.0,141.0,23.0,4.0,,
King,Meeker,Strout,577.0,577.0,,1.5,,
Kings,Stearns,Freeport,203.86,46.0,44.0,7.0,,
Kitchi,Beltrami,Pennington,1785.0,714.0,50.0,8.0,,
Kjostad,St. Louis,Buyck,397.0,286.0,50.0,6.5,,
Klawitter Pond,Washington,Lake Elmo,5.76,,14.0,8.0,,
Kliever Marsh,Sherburne,Elk River,27.0,27.0,,4.33,,
Klinker's Marsh,Murray,Current Lake,102.0,102.0,,6.9,,
Knaus,Stearns,Cold Spring,205.0,202.0,20.0,,,
Knieff,Crow Wing,White Hawk,44.3,18.6,42.0,12.0,,
Knife,Kanabec,Mora,1266.0,1266.0,15.0,2.0,,
Knife,Lake,Ely,4919.0,1037.0,179.0,21.0,38040400.0,
Knife Falls Reservoir,Carlton,Cloquet,61.0,18.0,32.0,4.3,,
Knuckle Pond,Stearns,St Martin,8.0,8.0,12.0,2.0,,
Koetter,Stearns,Richmond,217.0,217.0,34.0,3.0,,
Kohlman,Ramsey,Little Canada,84.11,84.11,9.0,5.2,,
Kohlmeier,Steele,Owatonna,32.0,32.0,14.0,13.0,,
Koma,Lake,Forest Center,250.09,250.09,14.0,3.0,,
Koop,Stearns,Avon,60.13,27.17,52.0,10.0,,
Koronis,Stearns,Paynesville,3014.0,1176.0,132.0,5.2,,
Koronis Pond 1,Stearns,Eden Valley,6.0,6.0,12.0,4.0,,
Koronis Pond 2,Stearns,Paynesville,9.0,9.0,10.0,5.0,,
Kossila Oxbow,Wadena,,,,,,,
Kraemer,Stearns,Avon,195.03,105.0,30.0,5.0,,
